target,source,value,,,,
Black-Cherry-Pie,hybrid,5,,,,
Dougs-Varin,sativa,5,,,,
Frida,indica,4.9,,,,
Mai-Tai-Cookies,hybrid,4.9,,,,
Strawberry-Blondie,hybrid,4.9,,,,
Golden-State-Banana,indica,4.8,,,,
Gorilla-Cookies,hybrid,4.8,,,,
Humboldt-Headband,indica,4.8,,,,
Swiss-Tsunami,sativa,4.8,,,,
Blue-Cookies,hybrid,4.7,,,,
El-Chapo-Og,indica,4.7,,,,
Gg-4,hybrid,4.7,,,,
Gelato,hybrid,4.7,,,,
Wedding-Cake,hybrid,4.7,,,,
Ancient-Og,indica,4.6,,,,
Black-Mamba,indica,4.6,,,,
Blueberry-Og,hybrid,4.6,,,,
Candyland,sativa,4.6,,,,
Cherry-Cookies,hybrid,4.6,,,,
Cookie-Wreck,hybrid,4.6,,,,
Forbidden-Fruit,indica,4.6,,,,
Jesus-Og,sativa,4.6,,,,
Jet-Fuel,hybrid,4.6,,,,
King-Louis,indica,4.6,,,,
Monster-Cookies,indica,4.6,,,,
Og-18,hybrid,4.6,,,,
Orange-Cookies,hybrid,4.6,,,,
Paris-Og,indica,4.6,,,,
Platinum-Gsc,hybrid,4.6,,,,
Purple-Punch,indica,4.6,,,,
Sour-Tangie,sativa,4.6,,,,
Sunset-Sherbert,hybrid,4.6,,,,
The-White,hybrid,4.6,,,,
Zkittlez,indica,4.6,,,,
